"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-C5E15B31","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia, Australasia: widespread; also Sulawesi","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-C5E15B31","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","28.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5E15B31","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-3.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5E15B31","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","16.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5E15B31","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","103.05","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5E15B31","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5E15B31","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1646031.46","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C5E15B31","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C5E15B31","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-C5E15B31","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
